Gene_acc,Gene_id,DD8_1,DD8_2,DD8_3,HCZ_1,HCZ_2,HCZ_3,Desc,pg_index
18,LdBPK_251210,2537300.0,2130000.0,2322300.0,2361500.0,2404200.0,2618400.0,"ATP synthase subunit beta, mitochondrial, putative",23
19,LdBPK_291610,184.92,0.0,0.0,636.92,649.69,993.49,"major facilitator superfamily, putative",24
20,LdBPK_020680,321490.0,261450.0,294530.0,181920.0,187630.0,191800.0,"ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78), putative",25
21,LdBPK_312060,52402.0,43741.0,51597.0,83512.0,79879.0,52474.0,succinyl-diaminopimelate desuccinylase-like protein,26
22,LdBPK_323820,18956.0,14293.0,17134.0,168610.0,142800.0,118450.0,3-hydroxyisobutyryl-coenzyme a hydrolase-like protein,27
23,LdBPK_044330,11352.0,11606.0,9637.1,14957.0,10811.0,12535.0,exosome subunit rrp6p homologue putative,32
24,LdBPK_044320,1305.6,432.89,793.03,2373.3,1931.9,2179.3,phosphatidylinositol phosphate kinase alpha,33
25,LdBPK_353840,252400.0,612550.0,542560.0,702940.0,635600.0,500420.0,"60S ribosomal protein L23, putative",35
26,LdBPK_044360,31759.0,22820.0,17564.0,860830.0,723890.0,679200.0,D-isomer specific 2-hydroxyacid dehydrogenase (fragment),36
27,LdBPK_360990,779430.0,750940.0,782740.0,948300.0,790870.0,777190.0,"40S ribosomal protein S18, putative",37
28,LdBPK_363940,1238300.0,1519200.0,1286800.0,1421800.0,1125900.0,978180.0,"40S ribosomal protein S27-1, putative",38
29,LdBPK_363430,80553.0,35845.0,23918.0,128920.0,69786.0,102340.0,"60S ribosomal protein L22, putative",39
30,LdBPK_321660,139930.0,143780.0,121000.0,118370.0,93625.0,93393.0,phosphomannose isomerase,41
31,LdBPK_340080,178460.0,166790.0,162140.0,185030.0,154810.0,145640.0,"glucose-6-phosphate 1-dehydrogenase, putative",42
32,LdBPK_292080,171370.0,171780.0,155610.0,143140.0,116300.0,89310.0,"Fumarate hydratase class I, cytosolic",43
33,LdBPK_111100,86548.0,57109.0,74251.0,90398.0,93608.0,90484.0,Lanosterol 14-alpha demethylase,44
34,LdBPK_010010,19070.0,9723.2,14402.0,15124.0,20311.0,15079.0,"Protein of unknown function (DUF2946), putative",45
35,LdBPK_010030,2733.8,1017.5,1208.3,855.99,605.81,188.63,"Kinesin-13 1, putative",47
36,LdBPK_010050,40217.0,29078.0,36635.0,16947.0,17661.0,10987.0,"carboxylase, putative",48
37,LdBPK_010060,64078.0,49577.0,59216.0,62883.0,66472.0,93752.0,"hypothetical protein, conserved",49
38,LdBPK_010070,22672.0,26041.0,27844.0,9827.7,12695.0,11200.0,"BSD domain containing protein, putative",50
39,LdBPK_010080,25544.0,17506.0,17301.0,23032.0,26617.0,36095.0,"hypothetical protein, conserved",51
40,LdBPK_070095,0.0,0.0,0.0,3785.7,4377.8,3916.0,"UMP-CMP kinase, mitochondrial, putative",52
41,LdBPK_010100,1919.6,1545.5,1861.1,1615.4,1309.4,1596.4,"Glycosyl transferase family 11, putative",53
42,LdBPK_010110,24066.0,28288.0,24991.0,19294.0,16942.0,12057.0,glutaredoxin-like protein,54
43,LdBPK_010120,4105.2,2665.7,791.73,879.19,1066.9,2213.8,"hypothetical protein, conserved",55
44,LdBPK_010130,17532.0,13794.0,17428.0,11732.0,12514.0,12334.0,"hypothetical protein, conserved",56
45,LdBPK_010140,14541.0,7579.6,12583.0,14499.0,12928.0,11559.0,"hypothetical protein, conserved",57
46,LdBPK_010150,18291.0,14142.0,13163.0,11877.0,15099.0,33873.0,"hypothetical protein, conserved",58
47,LdBPK_010160,136200.0,111830.0,120390.0,129530.0,128910.0,108240.0,"LSM domain containing protein, putative",59
48,LdBPK_010180,2385.2,2646.6,1647.5,1626.4,1750.5,4529.8,"CLC-type chloride channel, putative",60
49,LdBPK_010190,18034.0,12774.0,15080.0,14780.0,14215.0,12143.0,"hypothetical protein, conserved",61
50,LdBPK_010200,8500.9,32003.0,6517.6,25054.0,7295.9,24327.0,"Low molecular weight phosphotyrosine protein phosphatase, putative",62
51,LdBPK_010210,987.51,605.62,469.34,815.74,1958.4,2382.1,"CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein, putative",63
52,LdBPK_010220,41962.0,52235.0,62685.0,33504.0,32635.0,15864.0,"cyclophilin type peptidyl-prolyl cis-trans isomerase, putative",64
53,LdBPK_010240,205.25,0.0,0.0,0.0,0.0,0.0,"DNA excision/repair protein SNF2, putative",65
54,LdBPK_010250,2385.1,2602.0,2524.2,3555.3,3042.7,2912.6,"Right handed beta helix region, putative",66
55,LdBPK_010270,105890.0,112800.0,54738.0,62653.0,56484.0,56139.0,"thioredoxin, putative",68
56,LdBPK_010280,3179.8,3037.6,2909.7,2422.9,2593.4,4497.6,pseudouridylate synthase-like protein,69
57,LdBPK_010330,52174.0,50335.0,59780.0,38002.0,33566.0,34773.0,"poly(A) export protein, putative",71
58,LdBPK_010350,0.0,109820.0,0.0,52101.0,0.0,92554.0,Mitochondrial pyruvate carrier 1,73
59,LdBPK_010360,2816.0,2053.1,2749.5,1433.7,1005.4,1162.5,"hypothetical protein, conserved",74
60,LdBPK_010370,3018.8,1728.7,2911.3,4275.7,4298.2,1854.0,"hypothetical protein, conserved",75
61,LdBPK_010400,13465.0,7715.0,9045.9,3356.4,2343.6,3853.0,"Dyggve-Melchior-Clausen syndrome protein, putative",76
62,LdBPK_010410,7927.0,6049.9,5644.8,7302.5,8866.1,6699.2,"hypothetical protein, conserved",77
63,LdBPK_010440,319980.0,307190.0,334480.0,446390.0,396890.0,423750.0,"ribosomal protein S7, putative",78
64,LdBPK_010440,319980.0,307190.0,334480.0,446390.0,396890.0,423750.0,"ribosomal protein S7, putative",78
65,LdBPK_010460,4582.4,4231.7,5146.5,5745.1,5169.8,4839.8,"Protein of unknown function (DUF791), putative",79
66,LdBPK_010470,23274.0,16850.0,15614.0,20914.0,21757.0,12739.0,alpha/beta-hydrolase-like protein,80
67,LdBPK_010520,10182.0,9336.5,11323.0,14787.0,10595.0,2324.1,"fatty acyl CoA synthetase 2, putative",85
68,LdBPK_010540,18030.0,10601.0,13131.0,12445.0,13837.0,20581.0,"long chain fatty acid CoA ligase, putative",86
69,LdBPK_010580,4351.6,5248.5,4485.0,5109.2,3039.0,2498.4,"pre-mRNA processing factor 3 (PRP3)/Protein of unknown function (DUF1115), putative",88
70,LdBPK_010610,14585.0,10241.0,8615.0,9603.0,6407.5,9722.4,mitochondrial RNA editing ligase 1,91
71,LdBPK_010620,2013.0,1225.1,982.54,1892.6,2773.7,2820.8,"Rab-GTPase-TBC domain containing protein, putative",92
72,LdBPK_010660,17769.0,12530.0,14596.0,7276.0,5631.0,10652.0,HSP70-like protein,94
73,LdBPK_010670,77614.0,60234.0,65212.0,63905.0,59359.0,56958.0,"mitochondrial-processing peptidase subunit beta, putative",95
74,LdBPK_010680,120.33,114.02,179.64,0.0,0.0,0.0,"hypothetical protein, conserved",96
75,LdBPK_010690,0.0,0.0,986.92,148.49,0.0,0.0,"hypothetical protein, conserved",97
76,LdBPK_010700,1773.4,1524.4,1700.9,660.73,568.3,170.56,"hypothetical protein, unknown function",98
77,LdBPK_010710,74526.0,67039.0,70881.0,15098.0,20778.0,37506.0,"PLAC8 family, putative",99
78,LdBPK_010720,7318.2,4816.9,4853.6,0.0,2789.7,3475.8,"hypothetical protein, unknown function",100
79,LdBPK_010730,242.65,283.38,150.76,0.0,0.0,0.0,"ubiquitin activating enzyme, putative",101
80,LdBPK_010740,2134.8,1682.7,1804.7,9324.7,9742.0,4428.8,"hypothetical protein, conserved",102
81,LdBPK_010760,5965.2,4637.7,4222.0,2860.2,6738.3,4009.0,"hypothetical protein, conserved",103
82,LdBPK_010780,3878.2,640.96,2984.1,5844.6,4637.4,4681.9,"hypothetical protein, conserved",104
83,LdBPK_010790,896890.0,829520.0,870490.0,819420.0,688310.0,571960.0,Eukaryotic initiation factor 4A-1,105
84,LdBPK_010810,2246.3,1318.4,1369.0,766.06,1119.1,975.22,"hypothetical protein, conserved",106
85,LdBPK_010820,1634.0,1926.0,1726.9,762.63,713.07,749.41,"hypothetical protein, conserved",107
86,LdBPK_010830,538.22,136.73,153.1,297.73,80.574,606.85,"calcium/potassium channel (CAKC), putative",108
87,LdBPK_020020,72063.0,66647.0,62904.0,30338.0,54818.0,63216.0,"cytochrome b-domain protein, putative",110
88,LdBPK_020030,4108.1,3474.6,1254.2,0.0,1280.6,1251.2,"hypothetical protein, conserved",111
89,LdBPK_020040,1823.4,1122.8,2590.8,2720.2,812.27,1946.0,"hypothetical protein, conserved",112
90,LdBPK_020060,5840.1,6024.2,4571.5,9372.5,3010.9,7203.1,"hypothetical protein, conserved",113
91,LdBPK_020110,8665.2,6128.7,5819.3,5682.9,1592.5,8575.3,"hypothetical protein, conserved",115
93,LdBPK_020230,32241.0,39991.0,54665.0,33876.0,35108.0,39021.0,small GTP binding protein rab6-like protein,120
94,LdBPK_020240,13643.0,10694.0,12114.0,9448.3,10393.0,15130.0,"hypothetical protein, conserved",121
95,LdBPK_020250,94735.0,95710.0,86200.0,33603.0,26280.0,14705.0,"hypothetical protein, conserved",122
96,LdBPK_020290,28361.0,24525.0,21588.0,24927.0,19121.0,13581.0,"ribosomal RNA processing protein 41B, putative",125
97,LdBPK_020310,727.29,326.86,255.26,6528.5,5338.5,5318.8,"UAA transporter family, putative",126
98,LdBPK_020330,77194.0,61716.0,62922.0,57560.0,53424.0,39652.0,"casein kinase II, alpha chain, putative",128
99,LdBPK_020350,14058.0,16670.0,12050.0,10747.0,7586.9,7736.4,"FtsJ-like methyltransferase, putative",130
100,LdBPK_020420,228880.0,165440.0,213400.0,110110.0,107500.0,195200.0,"voltage-dependent anion-selective channel, putative",133
101,LdBPK_020430,544890.0,477030.0,525260.0,533560.0,499080.0,299560.0,"Mitochondrial outer membrane protein porin, putative",134
102,LdBPK_020470,178.76,167.21,153.5,0.0,0.0,0.0,"glycerate kinase, putative",135
103,LdBPK_020520,541910.0,519360.0,368790.0,680450.0,552860.0,282000.0,"hypothetical protein, unknown function",136
104,LdBPK_020530,8815.1,5181.8,8576.7,6593.6,8647.1,10405.0,"hypothetical protein, unknown function",137
105,LdBPK_020580,1377.8,1421.1,1761.3,422.14,545.7,1548.4,"hypothetical protein, conserved",139
106,LdBPK_020620,72272.0,56082.0,59870.0,39006.0,36172.0,46351.0,"hypothetical protein, conserved",140
107,LdBPK_020630,10849.0,7733.9,7603.2,4037.0,4098.5,3833.9,"Nop14-like family, putative",141
108,LdBPK_020640,189860.0,140150.0,179590.0,131940.0,131910.0,146800.0,"mitochondrial carrier protein, putative",142
109,LdBPK_030150,26908.0,20169.0,23355.0,34616.0,68663.0,27547.0,"ATP-binding cassette protein subfamily F, member 1, putative",147
110,LdBPK_030180,58927.0,73396.0,47359.0,89767.0,89210.0,82711.0,"U2 splicing auxiliary factor, putative",148
111,LdBPK_030200,5601.1,5768.5,7006.8,9102.7,7099.9,5525.5,"protein kinase, putative",150
112,LdBPK_030210,21798.0,13590.0,13013.0,23345.0,20073.0,21385.0,"hypothetical protein, conserved",151
113,LdBPK_030230,4669.6,3981.9,0.0,3965.4,3709.9,4190.8,"hypothetical protein, conserved",152
114,LdBPK_030240,90281.0,124390.0,93979.0,110270.0,88274.0,80377.0,"ribosomal protein L38, putative",153
115,LdBPK_030390,0.0,0.0,0.0,0.0,0.0,0.0,"MFS transporter, putative",158
116,LdBPK_030420,3334400.0,2968400.0,2619300.0,3258800.0,2846200.0,1859000.0,"60S acidic ribosomal protein P2, putative",159
117,LdBPK_030430,798.34,615.35,847.23,1347.9,569.78,409.65,"TLD domain protein, conserved",160
118,LdBPK_030660,240.64,21530.0,22912.0,19924.0,16057.0,25892.0,"Uroporphyrinogen-III synthase HemD, putative",161
119,LdBPK_030670,39108.0,36785.0,35547.0,47493.0,40379.0,31644.0,"DEAD/DEAH box helicase, putative",162
120,LdBPK_030690,4671.0,3175.6,0.0,2911.1,223.57,3284.0,"Aminoacyl-tRNA editing domain containing protein, putative",163
121,LdBPK_030710,0.0,0.0,660.25,426.66,6171.0,0.0,"hypothetical protein, conserved",164
122,LdBPK_030720,58598.0,56531.0,44817.0,23307.0,28370.0,38775.0,"cytochrome c oxidase copper chaperone, putative",165
123,LdBPK_030780,7089.5,7333.6,5085.4,5067.4,4110.8,2901.8,"hypothetical protein, conserved",168
124,LdBPK_030790,685.16,471.43,515.82,1194.3,1289.8,2121.9,6-phosphofructo-2-kinase 1,169
125,LdBPK_030850,263.53,173.1,131.59,108.11,0.0,82.18,"hypothetical protein, conserved",170
126,LdBPK_030870,1205.7,245.32,992.74,233.37,1405.3,1587.4,"NLI interacting factor-like phosphatase, putative",172
127,LdBPK_030880,7724.1,6096.6,7350.4,18067.0,15587.0,17824.0,"peter pan protein, putative",173
128,LdBPK_030900,11821.0,3657.1,3083.7,2509.1,0.0,2522.8,"Got1/Sft2-like family, putative",174
129,LdBPK_030910,18846.0,24237.0,21641.0,21220.0,16485.0,13206.0,"Amidohydrolase family, putative",175
130,LdBPK_030930,16268.0,12296.0,15529.0,7158.2,6679.1,9830.6,"multicopper oxidase, putative",176
131,LdBPK_030940,151490.0,142660.0,147360.0,123720.0,102900.0,149620.0,"hypothetical protein, conserved",177
132,LdBPK_040030,13429.0,13587.0,15485.0,17189.0,15044.0,15481.0,"cAMP-specific phosphodiesterase, putative",180
133,LdBPK_040050,13911.0,5668.7,14640.0,12915.0,10448.0,19053.0,"hypothetical protein, conserved",181
134,LdBPK_040080,4333.4,3471.9,2337.2,3490.6,1437.3,671.04,"hypothetical protein, conserved",184
135,LdBPK_040090,5349.0,4165.8,4667.3,1805.4,2061.0,3426.9,"hypothetical protein, conserved",185
136,LdBPK_040120,4598.8,5562.1,5989.4,4085.7,4102.8,3980.8,"hypothetical protein, conserved",186
137,LdBPK_040130,14357.0,15330.0,20787.0,10818.0,12901.0,12558.0,"exosome complex exonuclease RRP40, putative",187
138,LdBPK_040140,96292.0,102470.0,89456.0,104470.0,84095.0,69128.0,"hypothetical protein, conserved",188
139,LdBPK_040180,6838.1,3054.2,2190.9,100790.0,101260.0,27307.0,surface antigen-like protein (fragment),190
140,LdBPK_040190,4954.0,5423.5,5564.1,153120.0,143520.0,57965.0,surface antigen-like protein,191
141,LdBPK_040200,1300.4,741.27,0.0,46064.0,55600.0,1622.3,surface antigen-like protein,192
142,LdBPK_040230,101910.0,79943.0,92206.0,69521.0,64785.0,99954.0,"GRAM domain containing protein, putative",194
143,LdBPK_040250,0.0,0.0,0.0,0.0,0.0,0.0,"hypothetical protein, conserved",195
144,LdBPK_040260,23762.0,19710.0,24400.0,25873.0,25980.0,32306.0,"Mitochondrial 39-S ribosomal protein L47 (MRP-L47), putative",196
145,LdBPK_040290,1028.2,790.25,796.98,576.12,786.84,1144.1,"hypothetical protein, conserved",199
146,LdBPK_040300,3275.0,3915.5,5601.7,885.53,2324.4,1980.0,"beta-fructofuranosidase, putative",200
147,LdBPK_040330,5042.6,0.0,4393.6,8245.3,8842.3,10226.0,"ADP-ribosylation factor, putative",201
148,LdBPK_040350,4117.5,6988.0,4991.1,1277.1,1364.8,1672.5,"hypothetical protein, conserved",202
149,LdBPK_040360,5763.1,1628.1,6461.4,5636.3,10892.0,5981.3,"phytanoyl-CoA dioxygenase (PhyH), putative",203
150,LdBPK_040370,0.0,0.0,0.0,0.0,3113.9,1860.2,hypothetical protein,204
151,LdBPK_040380,11695.0,19068.0,14033.0,17353.0,16560.0,4985.6,"anaphase promoting complex, subunit 10-like protein",205
152,LdBPK_040390,0.0,46.636,0.0,3961.3,5383.5,0.0,"hypothetical protein, conserved",206
153,LdBPK_040400,90446.0,86966.0,96892.0,110830.0,102020.0,85471.0,"Tetratricopeptide repeat, putative",207
154,LdBPK_040420,0.0,0.0,0.0,0.0,0.0,0.0,serine/threonine protein kinase-like protein,208
155,LdBPK_040430,80537.0,73910.0,69398.0,164880.0,134460.0,85488.0,"calpain-like cysteine peptidase, putative",209
156,LdBPK_040440,68508.0,84495.0,82457.0,91171.0,73928.0,58422.0,"adenylosuccinate lyase, putative",210
157,LdBPK_220004,618020.0,672770.0,614520.0,720020.0,591800.0,511140.0,"60S ribosomal protein L11 (L5, L16)",211
158,LdBPK_040470,7813.2,5020.7,13477.0,13387.0,11310.0,15907.0,"ADP-ribosylation factor, putative",212
159,LdBPK_040480,13120.0,7164.3,10637.0,0.0,607.03,0.0,"hypothetical protein, conserved",213
160,LdBPK_040490,840.26,598.42,988.42,314.03,179.18,329.05,"Nucleotidyltransferase domain containing protein, putative",214
161,LdBPK_040520,29526.0,20938.0,16861.0,17123.0,12831.0,11288.0,"hypothetical protein, conserved",215
162,LdBPK_040530,1177.3,1087.0,1326.2,719.6,1171.0,593.98,"Zinc finger, C3HC4 type (RING finger), putative",216
163,LdBPK_040550,11491.0,9872.9,4130.1,2546.9,3418.1,3740.9,"tyrosine phosphatase, putative",218
164,LdBPK_040560,419.85,526.46,592.54,168.63,325.26,303.03,"DENN (AEX-3) domain containing protein, putative",219
165,LdBPK_040570,145310.0,133090.0,132530.0,124330.0,119570.0,109040.0,"spermidine synthase, putative",220
166,LdBPK_040580,45573.0,46774.0,50012.0,28459.0,27987.0,23601.0,hypothetical protein,221
167,LdBPK_040600,0.0,0.0,0.0,0.0,0.0,0.0,"hypothetical protein, conserved",222
168,LdBPK_040630,214190.0,131660.0,208000.0,298010.0,284750.0,309720.0,"hypothetical protein, conserved",223
169,LdBPK_040680,242580.0,224850.0,234410.0,248070.0,199060.0,170230.0,"ubiquitin-conjugating enzyme E2, putative",225
170,LdBPK_040690,16774.0,13632.0,14913.0,12889.0,12830.0,8879.4,"axonemal dynein light chain, putative",226
171,LdBPK_040710,17278.0,11760.0,15030.0,15148.0,16260.0,15439.0,"Tir chaperone protein (CesT) family/PDZ domain containing protein, putative",227
172,LdBPK_040730,2707.2,2782.4,2833.1,1929.0,1450.9,1248.8,"Protein of unknown function (DUF974), putative",228
174,LdBPK_040750,446040.0,390590.0,383510.0,799090.0,455630.0,698630.0,"60S ribosomal protein L10, putative",230
175,LdBPK_040780,2291.0,1921.4,1374.2,2687.4,2432.8,1038.6,"heat shock protein, putative",233
176,LdBPK_040790,259.73,743.12,635.67,358.55,526.16,633.67,"hypothetical protein, conserved",234
177,LdBPK_040820,16192.0,17092.0,15519.0,18214.0,20930.0,20411.0,"Peptide deformylase 2, putative",237
178,LdBPK_040830,4759.5,3461.7,1975.4,2577.4,3320.7,5582.4,"hypothetical protein, conserved",238
179,LdBPK_040850,13622.0,9599.0,12259.0,8763.5,7280.2,11348.0,rhomboid-like protein,239
180,LdBPK_040930,11774.0,8784.0,9946.0,17698.0,19783.0,18676.0,"hypothetical protein, conserved",242
181,LdBPK_040940,60918.0,53621.0,52124.0,47427.0,48818.0,59150.0,"chaperone protein DnaJ, putative",244
182,LdBPK_040960,252590.0,226460.0,263690.0,209640.0,140610.0,132150.0,"adenylate kinase, putative",245
183,LdBPK_041000,38554.0,41599.0,39968.0,34721.0,25990.0,27734.0,"hypothetical protein, conserved",246
184,LdBPK_041050,20707.0,17562.0,13371.0,24615.0,24590.0,45478.0,"acyltransferase-like protein, copy 2",249
185,LdBPK_041080,18791.0,15614.0,15163.0,13338.0,11415.0,13559.0,"Transcriptional repressor TCF25, putative",250
186,LdBPK_041110,5464.4,5518.1,1720.1,6922.8,6763.3,5940.8,"hypothetical protein, conserved",251
187,LdBPK_041140,19030.0,15766.0,18095.0,21683.0,21714.0,23465.0,"cytochrome c oxidase assembly factor, putative",252
188,LdBPK_041150,0.0,0.0,0.0,0.0,0.0,0.0,hypothetical protein,253
189,LdBPK_041160,22320.0,18097.0,19815.0,12423.0,13214.0,16466.0,"hypothetical protein, conserved",254
190,LdBPK_041170,231760.0,201130.0,209700.0,186050.0,158980.0,236270.0,"fructose-1,6-bisphosphatase, cytosolic, putative",255
191,LdBPK_041190,197680.0,187910.0,176980.0,155810.0,132170.0,121010.0,Double RNA binding domain protein 3,256
192,LdBPK_041200,635.04,539.84,517.66,455.98,352.9,482.37,"hypothetical protein, conserved",257
193,LdBPK_041210,14848.0,13360.0,15355.0,19926.0,19534.0,12673.0,"tRNA nucleotidyltransferase, putative",258
194,LdBPK_041220,2739.3,1113.3,973.53,3963.7,3963.5,276.94,"hypothetical protein, conserved",259
195,LdBPK_041240,1289.1,5444.2,3038.8,2639.2,2113.9,2342.1,"hypothetical protein, conserved",260
196,LdBPK_041250,1003300.0,818950.0,865560.0,1341900.0,1077900.0,952980.0,actin,261
197,LdBPK_050030,181430.0,148040.0,168630.0,265220.0,243500.0,255000.0,"ras-like small GTPases, putative",262
198,LdBPK_050060,6802.7,6773.7,7601.1,7298.2,4912.4,4461.0,"major vault protein, putative",265
199,LdBPK_050160,0.0,0.0,0.0,0.0,0.0,0.0,"hypothetical protein, unknown function",267
200,LdBPK_050170,855.77,229.35,721.22,135.36,469.11,176.93,"basal body component, putative",268
201,LdBPK_050190,29185.0,14642.0,36050.0,34294.0,29710.0,25811.0,"Fip1 motif/Zinc finger C-x8-C-x5-C-x3-H type (and similar), putative",269
202,LdBPK_050200,8040.8,8161.7,7653.3,4259.4,4771.1,5777.9,"50S ribosome-binding GTPase, putative",270
203,LdBPK_050070,54730.0,33218.0,28387.0,62251.0,61465.0,55020.0,"dynein light chain, putative",271
204,LdBPK_050080,5378.1,4847.2,11158.0,3852.2,4355.5,6846.2,"Rrp15p, putative",272
205,LdBPK_050100,209330.0,182090.0,182700.0,178130.0,151360.0,146700.0,"phosphoprotein phosphatase, putative",273
206,LdBPK_050110,3042.3,535.52,5638.0,1435.5,3112.1,5068.5,"hypothetical protein, conserved",274
207,LdBPK_050130,4260.7,4028.7,4267.4,4953.7,6088.7,7290.4,"protein kinase, putative",275
208,LdBPK_050140,38735.0,36886.0,34017.0,36887.0,37372.0,40031.0,"nucleolar RNA helicase II, putative",276
209,LdBPK_050250,1497.2,1776.1,2105.0,669.57,0.0,1404.6,"hypothetical protein, conserved",277
210,LdBPK_050260,39064.0,38627.0,33336.0,38273.0,38497.0,32306.0,"hypothetical protein, conserved",278
211,LdBPK_050280,75450.0,67342.0,69919.0,91737.0,90268.0,117720.0,"protein tyrosine phosphatase, putative",280
212,LdBPK_050290,1734.9,1603.9,0.0,1460.8,1354.2,0.0,"ARP2/3 complex 16kDa subunit, putative",281
213,LdBPK_050320,36582.0,33631.0,46082.0,46522.0,42518.0,49857.0,glutaredoxin-like protein,282
214,LdBPK_050340,30717.0,26795.0,28465.0,30919.0,30046.0,35022.0,"hypothetical protein, conserved",283
215,LdBPK_050230,4603.0,4074.7,2733.1,2965.7,3115.0,2977.6,"hydrogenase, putative",284
216,LdBPK_050350,407090.0,337900.0,378100.0,530040.0,448270.0,579290.0,trypanothione reductase,285
217,LdBPK_050360,725.23,1089.9,1623.7,0.0,648.99,2134.4,"ATP-dependent RNA helicase, putative",286
218,LdBPK_050410,3933.8,2616.5,3315.9,2616.3,3195.1,3384.8,"TPR repeat, putative",290
219,LdBPK_050430,0.0,0.0,0.0,187.35,163.4,309.85,"hypothetical protein, conserved",291
220,LdBPK_050440,296.3,191.6,195.15,124.23,0.0,164.94,"hypothetical protein, conserved",292
221,LdBPK_050450,124080.0,152920.0,125170.0,112670.0,115260.0,100860.0,"hypothetical protein, conserved",293
222,LdBPK_050510,1069200.0,880050.0,989600.0,1021000.0,1042800.0,1165900.0,"ATP synthase F1, alpha subunit, putative",295
223,LdBPK_050520,36653.0,19299.0,24829.0,20095.0,34346.0,26929.0,nuclear receptor binding factor-like protein,296
224,LdBPK_050550,2244.8,1550.8,1980.2,1448.4,934.16,641.74,"protein kinase, putative",298
225,LdBPK_050570,36677.0,32561.0,23927.0,19936.0,28934.0,20541.0,"hypothetical protein, conserved",300
226,LdBPK_050580,41572.0,36342.0,33477.0,35706.0,36595.0,33214.0,"hypothetical protein, conserved",301
227,LdBPK_050590,1774.3,2012.8,1905.8,1482.2,1318.9,1661.2,"ATP-dependent RNA helicase, putative",302
228,LdBPK_050600,7520.0,6314.8,5462.5,8449.3,9014.8,5588.9,"COG4 transport protein, putative",303
229,LdBPK_050610,5850.2,5139.2,7031.5,6799.2,6153.6,4272.0,"Surp module, putative",304
230,LdBPK_050630,412.62,383.69,688.12,633.4,1424.2,1362.1,"kinesin, putative",305
231,LdBPK_050660,11137.0,3007.9,7498.8,6988.3,6738.7,8445.9,nitroreductase-like protein,307
232,LdBPK_050690,493.56,483.07,422.35,288.45,314.0,400.72,"hypothetical protein, conserved",309
233,LdBPK_050700,397.17,130.56,194.58,145.82,0.0,594.97,"hypothetical protein, conserved",310
234,LdBPK_050710,607.5,660.7,222.29,317.85,235.23,255.43,"CYC2-like cyclin, putative",311
235,LdBPK_050720,18068.0,24982.0,16234.0,11616.0,13514.0,14848.0,phophatase-like protein,312
236,LdBPK_050730,32197.0,22404.0,25076.0,22494.0,20796.0,22574.0,"hypothetical protein, conserved",313
237,LdBPK_050740,18062.0,14285.0,15289.0,22449.0,12446.0,22661.0,"Vta1 like, putative",314
238,LdBPK_050750,4482.0,2599.4,4826.7,4481.9,6818.2,5399.5,"Flavodoxin/Radical SAM superfamily/Wyosine base formation, putative",315
239,LdBPK_050770,37.849000000000004,106.24,113.58,56.123999999999995,0.0,0.0,"hypothetical protein, unknown function",317
240,LdBPK_050780,120530.0,108140.0,109320.0,157310.0,170550.0,123080.0,"hypothetical protein, conserved",318
241,LdBPK_050800,13829.0,11808.0,12060.0,14712.0,19531.0,7210.8,MYND zinc finger (ZnF) domain-like protein,320
